book_id;character_id;name;gender;descent_country;descent_city;living_country;living_city;age;education;profession
11;6;Patrick;1;1;99;1;99;4;1;bioloog
11;7;Alex;1;6;99;99;99;2;1;promovendus/bioloog
11;8;Lisa;2;99;99;1;1;2;99;99
11;9;Ferry;1;6;99;1;99;6;1;soldaat
11;10;Broos;1;6;99;1;99;2;1;soldaat
11;11;Lestari;2;6;99;6;99;3;2;prostituee
11;12;Yatim;1;6;99;6;99;1;99;99
11;13;Paul;1;6;99;6;99;1;99;99
11;14;Toean;1;6;99;6;99;99;1;arts
11;15;Mamelie;2;6;99;6;99;3;2;bloemist
11;16;Rebecca;2;3;99;6;99;1;99;99
11;17;Marie;2;6;99;6;99;6;99;99
12;1;Koos;2;1;99;1;99;6;99;99
12;2;Anne;2;1;99;1;99;3;99;99
12;3;Lotte;2;1;99;1;99;3;99;advocaat
12;4;Chris;1;1;99;1;99;3;99;99
12;5;Puck;2;1;99;1;99;3;99;muzikant
12;6;Frits;1;1;99;1;99;6;1;apotheker
12;7;Daan;1;1;99;1;99;3;99;99
13;1;Tom;1;1;99;6;13;1;1;arts 
13;2;Roberto;1;3;99;6;99;4;1;pater
13;3;Papa;1;99;99;6;99;6;1;tandarts
13;4;Nick;1;99;99;6;99;99;1;handelaar
13;5;Henk Gerards;1;99;99;6;99;3;1;arts 
13;6;Kofi;1;6;99;6;13;5;2;chauffeur
13;7;Michael;1;99;99;6;13;99;1;verpleegkundige
13;8;Justice;1;6;99;6;13;1;1;tolk
13;9;Emilio;1;3;99;6;13;4;1;pater
13;10;Martha;2;6;99;6;13;99;1;verpleegkundige
13;11;Anna;2;6;99;6;13;1;1;verpleegkundige
14;1;Posthumus;1;1;3;1;1;4;1;ambtenaar
14;2;Alex;2;1;99;1;1;1;2;administratief medewerker
14;3;Merel;2;1;3;1;1;1;1;journalist
14;4;Onno;1;1;99;1;1;4;1;directeur
14;5;Maya;2;1;99;1;1;5;1;afdelingshoofd gemeente
14;6;Rachid;1;5;99;1;1;2;1;veiligheidsdienst medewerker
14;7;Ben;1;1;99;1;1;2;1;veiligheidsdienst medewerker
14;8;Najib;1;5;99;1;1;99;1;eigenaar meubelzaak
14;9;Karima;2;5;99;1;1;5;1;docent
14;10;Alami;1;5;99;1;1;99;99;99
14;11;Lisette;2;1;99;1;1;99;1;teamleider
14;12;Mohammed;1;5;99;1;1;5;2;eigenaar meubelzaak
