2,1,Eus,1,5,99,1,3,1,1,scholier/student/kok/crimineel,0.5,0.08389724310776941,183732.41351351351,0.3607237585876782,0.2182184034212662,1,1,1,1,1
2,7,Osman,1,99,99,1,99,99,99,werkloos,0.05,0.0,138736.7204081633,0.012048731787362044,0.21821753431661559,0,0,0,0,0
3,1,Arthur,1,1,99,6,12,4,1,schrijver/docent,0.5,0.1607142857142857,206115.42857142855,0.5743981024489687,0.3333337953963259,1,1,1,2,2
3,4,Doron,1,5,10,6,12,4,1,fotograaf,0.75,0.5,288561.60000000003,0.15643683886559068,0.3333333333324879,1,1,1,0,0
3,5,Jorge,1,3,99,6,12,4,2,clown,0.25,0.0,144280.80000000002,0.18952663162160346,0.3333330560959631,0,0,0,0,0
4,1,Elgin,1,3,7,5,99,3,1,adel/ambassadeur,0.9166666666666666,0.029671717171717175,237813.9041666667,0.533054508663165,0.27735105697766405,3,2,1,3,3
4,2,Mary,2,3,7,4,99,1,1,socialite,0.8333333333333333,0.0808080808080808,279781.0637254902,0.4471660442228341,0.27735064538964377,2,3,3,2,2
4,12,Emma,2,3,99,3,6,99,2,adel,0.3333333333333333,0.0030303030303030307,216194.45833333334,0.16355638366643022,0.27734988101068275,0,0,0,0,0
4,13,Sebastiani,2,3,8,5,8,99,1,adel,0.3333333333333333,0.0202020202020202,250330.4254385965,0.10476809576289375,0.2773497634137565,0,0,1,0,0
5,1,Tello,1,5,99,6,99,1,1,soldaat,0.5454545454545454,0.0,144358.58585858584,0.4717501179276555,0.2886756283502228,1,0,1,1,1
5,4,Hendrik,1,99,99,3,6,4,1,vioolbouwer,0.9090909090909092,0.4645454545454545,259845.45454545453,0.3274795004191814,0.2886754936891373,1,1,1,1,1
5,12,Hilda,2,99,99,3,6,4,99,99,0.18181818181818182,0.0,125731.6715542522,0.05377604505769012,0.28867468572578137,0,0,0,0,0
6,1,Ik,1,99,99,2,4,99,1,beeldhouwer/interim-manager,0.6666666666666666,0.29166666666666663,165097.7142857143,0.6749079093830448,0.31624068778999853,1,1,1,1,1
6,2,Joy,2,1,99,2,4,1,99,danser/kunstenaar,1.0,0.0,67981.41176470587,0.705015557883921,0.31625316432717837,1,0,1,1,1
6,3,Hoeka,1,2,99,2,4,99,99,eigenaar herberg,0.3333333333333333,0.1111111111111111,144460.5,0.13283073441179494,0.3162245972230263,0,0,0,0,0
6,4,Peter,2,2,99,2,4,3,99,99,0.2222222222222222,0.0,119553.51724137932,0.07475441857722202,0.31622287323406784,0,0,0,0,0
7,1,Adriaan,1,1,99,1,3,99,1,wijnhandelaar,1.0,0.2833333333333333,140226.875,0.37028851033873855,0.40824816915771933,1,1,1,1,1
7,6,Maurizio,1,3,99,3,99,3,2,hulp slagerij,0.8,0.03333333333333333,124646.11111111111,0.28538743373127434,0.4082478052400858,0,0,0,0,0
8,2,Tony,1,3,6,3,6,6,1,eigenaar autobedrijf,0.25,0.0,27102.25,0.7071067811865475,0.44721376050960693,1,0,1,0,1
8,4,De Rus,1,3,99,3,99,99,1,investeerder,0.0,0.0,0.0,1.696871558596564e-16,0.44721334798541795,0,0,0,1,0
14,1,Posthumus,1,1,3,1,1,4,1,ambtenaar,0.8333333333333333,0.022211847702043784,177494.85,0.4948325626970825,0.22941725836304272,2,1,1,2,2
14,3,Merel,2,1,3,1,1,1,1,journalist,0.611111111111111,0.1621259278122023,229025.61290322582,0.217923402752098,0.2294157461153821,1,1,2,1,1
14,4,Onno,1,1,99,1,1,4,1,directeur,0.2777777777777778,0.07459940205038243,191886.32432432432,0.05266187233017343,0.22941510631663425,1,1,1,1,1
14,6,Rachid,1,5,99,1,1,2,1,veiligheidsdienst medewerker,0.3333333333333333,0.08413547237076649,173165.7073170732,0.08522245103983994,0.22941551346010022,1,1,1,1,1
14,7,Ben,1,1,99,1,1,2,1,veiligheidsdienst medewerker,0.5555555555555556,0.09731441398108064,221868.5625,0.15758394377242554,0.22941586244098067,1,1,1,1,2
14,8,Najib,1,5,99,1,1,99,1,eigenaar meubelzaak,0.7222222222222222,0.19550641805543767,221868.5625,0.23839206328326173,0.22941615325840564,5,6,4,5,5
14,10,Alami,1,5,99,1,1,99,99,99,0.1111111111111111,0.0,122410.24137931035,0.02830654954152269,0.22941498998959056,0,0,0,0,0
14,11,Lisette,2,1,99,1,1,99,1,teamleider,0.38888888888888884,0.0009337068160597572,165111.48837209304,0.12648464662226422,0.22941568795068792,1,1,1,1,1
14,19,Haddad,1,5,99,1,1,99,99,99,0.611111111111111,0.09133208839091192,208817.4705882353,0.18144073055387477,0.2294157461148512,1,1,1,1,1
16,1,ik,1,1,3,1,2,3,99,postbode/fondsenwerver/drugsdealer,1.0,0.18915343915343913,197727.75,0.5122660457378988,0.316229223387052,2,2,0,2,2
16,2,Ernst,1,1,2,1,2,1,2,werkloos,0.7777777777777777,0.0,186096.70588235292,0.4214763371427311,0.31622841373816607,0,0,0,1,1
16,4,moeder,2,1,99,1,2,4,99,student,0.7777777777777777,0.031084656084656083,186096.70588235292,0.4586104558515008,0.3162285936608971,1,0,1,1,1
16,6,Kaiser,1,1,2,1,2,1,99,drugsdealer,0.7777777777777777,0.049603174603174593,210909.59999999998,0.14952765677679364,0.3162272442397232,0,1,2,0,0
16,7,Kemal,1,5,99,1,1,1,2,fondsenwerver/krantenbezorger/afwasser/drugsdealer,0.8888888888888888,0.10152116402116401,210909.59999999998,0.17592332064641394,0.3162274241620448,1,1,1,1,1
