book_id,character_id,name,name_variant,
11,17,Marie,Maria Bastiaanz-Lieberman,
12,1,Koos,Koos,
12,1,Koos,Koosje,
12,2,Anne,Anne,
12,3,Lotte,Lotte,
12,3,Lotte,Lot,
12,4,Chris,Chris,
12,5,Puck,Puck,
12,6,Frits,Frits,
12,6,Frits,Frits Blom,
12,6,Frits,Samuel Blom,
12,6,Frits,Samuel Nathan,
12,6,Frits,Sal,
12,7,Daan,Daan,
12,7,Daan,Robert,
13,1,Tom,Tom,
13,2,Roberto,Roberto,
13,3,Papa,Papa,
13,3,Papa,papa,
13,4,Nick,Nick,
13,5,Henk Gerards,Henk Gerards,
13,5,Henk Gerards,Dokter Gerards,
13,6,Kofi,Kofi,
13,7,Michael,Michael,
13,8,Justice,Justice,
13,9,Emilio,Emilio,
13,10,Martha,Martha,
13,11,Anna,Anna,
14,1,Posthumus,Posthumus,
14,1,Posthumus,Pieter,
14,1,Posthumus,Pieter Posthumus,
14,1,Posthumus,PP,
14,2,Alex,Alex,
14,2,Alex,Alex Tomassi,
14,3,Merel,Merel,
14,3,Merel,Merel Dekkers,
14,3,Merel,Meertje,
14,3,Merel,Dekkers,
14,4,Onno,Onno,
14,4,Onno,Onno Veldhuizen,
14,5,Maya,Maya,
14,5,Maya,Maya Wesseling,
14,6,Rachid,Rachid,
14,6,Rachid,Rachid el Massoui,
14,7,Ben,Ben,
14,7,Ben,Ben Bos,
14,8,Najib,Najib,
14,8,Najib,Najib Tahiri,
14,9,Karima,Karima,
14,10,Alami,Alami,
14,10,Alami,Tarik Alami,
14,11,Lisette,Lisette,
14,11,Lisette,Lisette Lammers,
14,12,Mohammed,Mohammed,
14,12,Mohammed,Mohammed Tahiri,
14,12,Mohammed,Mohammed 'Abu Najib',
14,13,Anna,Anna,
14,13,Anna,Anna de Vries,
14,14,Bart,Bart,
14,14,Bart,Bart Hooft,
14,15,Aissa,Aissa,
14,15,Aissa,Aissa Taheri,
14,16,Cornelius,Cornelius,
14,16,Cornelius,Cornelius Berendrecht,
14,17,Willem,Willem,
14,17,Willem,Willem Posthumus,
14,18,Sulung,Sulung,
14,19,Haddad,Haddad,
14,19,Haddad,Fayyad Haddad,
14,19,Haddad,Khaled,
15,1,Arthur,Arthur,
15,1,Arthur,Arhur Rauwman,
15,2,Remy,Remy,
15,2,Remy,Remy van Sand,
15,3,Paul,Paul,
15,3,Paul,Paul Martens,
15,4,Josefien,Josefien,
15,5,Zoë,Zoë,
15,6,Estee,Estee,
15,7,Taij,Taij,
15,8,Bleeker,Bleeker,
15,9,Stephanie,Stephanie,
15,10,Fee,Fee,
15,11,Hailie,Hailie,
15,12,Mirjam,Mirjam,
15,13,Manny,Manny,
15,14,Chandir,Chandir,
15,15,Debby,Debby,
15,16,Edward,Edward,
15,17,Paula,Paula,
15,18,Claire,Claire,
15,19,Serge,Serge,
15,20,Richard,Richard,
15,20,Richard,Engel,
15,21,Ellen,Ellen,
15,21,Ellen,Ellen Pronk,
15,21,Ellen,Pronk,
16,1,ik,ik,
16,1,ik,Ik,
16,2,Ernst,Ernst,
16,3,vader,vader,
16,3,vader,Vader,
16,4,moeder,moeder,
16,4,moeder,Moeder,
16,5,Bente,Bente,
16,6,Kaiser,Kaiser,
16,7,Kemal,Kemal,
16,8,Boy,Boy,
16,9,Nigel,Nigel,
16,10,Lizzy,Lizzy,
17,1,Bram,Bram,
17,1,Bram,Bram van der Stok,
17,1,Bram,Van der Stok,
17,1,Bram,van der Stok,
17,2,Leslie,Leslie,
17,3,Harry,Harry,
17,4,Marianne,Marianne,
17,4,Marianne,Marriane de Laar,
17,5,Lisa,Lisa,
17,6,Jolien,Jolien,
17,7,Alex,Alex,
17,8,Wim,Wim,
17,9,Benno,Benno,
18,1,Ik,Ik,
18,1,Ik,ik,
18,2,David,David,
18,3,Bellini,Bellini,
18,4,Rossini,Rossini,
18,5,Romani,Romani,
18,6,Florimo,Florimo,
18,7,Puccini,Puccini,
18,7,Puccini,Giacomo Puccini,
18,8,Verdi,Verdi,
18,8,Verdi,Giuseppe Verdi,
18,8,Verdi,Giuseppe Fortunino Francesco Verdi,
18,8,Verdi,Joseph Fortunin François,
18,9,Elvira,Elvira,
18,10,Toscanini,Toscanini,
18,10,Toscanini,Arturo,
18,10,Toscanini,Arturo Toscanini,
18,11,Callas,Callas,
18,11,Callas,Maria Callas,
18,11,Callas,Maria Kalogeropoulos,
19,1,Pontus,Pontus,
19,1,Pontus,Pontus Engelhardt,
19,2,Job,Job,
19,3,Harm,Harm,
19,3,Harm,Harm Engelhardt,
19,4,Jenny,Jenny,
19,5,Raaf,Raaf,
19,6,Sterre,Sterre,
19,6,Sterre,Sterre Fondant,
20,1,Geeske,Geeske,
20,1,Geeske,Gees,
20,2,Johannes,Johannes,
20,3,Trijntje,Trijntje,
20,4,Geesje,Geesje,
20,5,Gezientje,Gezientje,
20,6,Fenne,Fenne,
20,7,Jochem,Jochem,
20,8,Aleid,Aleid,
20,9,Jakob de Oude,Jakob de Oude,
20,10,Ada,Ada,
20,11,Hattie,Hattie,
20,12,Jorrit,Jorrit,
20,13,Dirk,Dirk,
20,14,Fennetje,Fennetje,
21,1,Wolf,Wolf,
21,2,Broer,Broer,
21,2,Broer,broer,
21,3,Omar,Omar,
21,4,Donkerblauw,Donkerblauw,
21,5,Arnau,Arnau,
21,6,Wood,Wood,
21,7,Cupcake,Cupcake,
21,8,Bowie,Bowie,
21,9,Cleopatra,Cleopatra,
21,10,Sue,Sue,
22,1,Herman,Herman,
22,1,Herman,Herman Brusselmans,
22,2,Phoebe,Phoebe,
22,3,Ökki,Ökki,
22,3,Ökki,Öktozan Rakopè,
22,4,Gerry,Gerry,
22,5,Jasmien,Jasmien,
22,6,Layla,Layla,
22,7,Clara,Clara,
22,7,Clara,Clara Cleymans,
22,8,Elien,Elien,
22,9,Erika,Erika,
22,10,Femke,Femke,
22,11,Helga,Helga,
22,11,Helga,Helga Picqué,
22,12,Tammy,Tammy,
22,13,Julie,Julie,
22,14,Brigitta,Brigitta,
22,14,Brigitta,Brigitta Callens,
22,15,Tina,Tina,
22,15,Tina,Tina Baelaert,
22,15,Tina,Tientje,
23,1,Guggenheimer,Guggenheimer,
23,2,Ellen,Ellen,
23,2,Ellen,Ellen Guggenheimer,
23,3,Debbie,Debbie,
23,4,Jules,Jules,
23,5,Emmeke,Emmeke,
23,6,Ulrich,Ulrich,
23,6,Ulrich,Ulrich Duyvel,
23,7,Madeleine,Madeleine,
23,8,Bernard,Bernard,
23,9,Wils,Wils,
23,10,Saloped,Saloped,
23,11,Gelaude,Gelaude,
23,11,Gelaude,Francis Gelaude,
23,12,Mufti,Mufti,
24,1,Gerrit,Gerrit,
24,2,Lis,Lis,
24,3,Susan,Susan,
24,4,Robbert,Robbert,
24,5,Jules,Jules,
24,6,Peter,Peter,
24,7,Marthe,Marthe,
24,8,Anouk,Anouk,
24,9,Hans,Hans,
24,10,Carlito,Carlito,
24,10,Carlito,Carlito Petito,
24,11,Monika,Monika,
24,12,Jean-Jacques,Jean-Jacques,
24,13,Kang Sungmoo,Kang Sungmoo,
24,14,Delphine,Delphine,
24,15,Mustafa,Mustafa,
24,15,Mustafa,Mustafa Al Khowarizmi,
24,16,Daan,Daan,
24,16,Daan,Daan Deerover,
24,17,Frederik,Frederik,
24,18,Karel,Karel,
24,19,Veerle,Veerle,
24,20,Frank,Frank,
24,21,Ruth,Ruth,
24,21,Ruth,Ruth de Muylder,
24,22,Emile,Emile,
24,22,Emile,Emile Fontainebleau,
25,1,Pjotr,Pjotr,
25,1,Pjotr,Pjottertje,
25,2,Henkie,Henkie,
25,2,Henkie,Negerhenkie,
25,2,Henkie,Henk,
25,3,Marie,Marie,
25,4,Julia,Julia,
25,5,Valeria,Valeria,
25,6,Mientje,Mientje,
26,1,Hilda,Hilda,
26,1,Hilda,Hilda Bongertman,
26,2,Trix,Trix,
26,2,Trix,Trix Terwin,
26,3,John,John,
26,3,John,John Scholte,
26,3,John,Scholte,
26,4,Viruly,Viruly,
26,4,Viruly,Jons Viruly,
26,4,Viruly,Adriaan,
26,4,Viruly,Adriaan Jons Viruly,
26,4,Viruly,Jons,
26,5,Plesman,Plesman,
26,5,Plesman,Albert Plesman,
26,6,Jannet,Jannet,
26,7,Victor,Victor,
26,8,Sonja,Sonja,
26,9,Johann,Johann,
26,9,Johann,Johann Heuser,
27,1,Willem,Willem,
27,1,Willem,William,
27,2,Marleen,Marleen,
27,3,Moeder,Moeder,
27,3,Moeder,moeder,
27,4,Vader,Vader,
27,4,Vader,vader,
27,5,Tim,Tim,
27,6,Michiel,Michiel,
27,7,Emine,Emine,
27,8,Tanja,Tanja,
27,9,Luc,Luc,
27,10,Suiker,Suiker,
28,1,Ik,Ik,
28,1,Ik,ik,
28,2,Seingever,Seingever,
28,2,Seingever,seingever,
28,3,Vader van de Seingever,Vader van de Seingever,
28,3,Vader van de Seingever,vader van de Seingever,
28,4,Vrouw van de Seingever,Vrouw van de Seingever,
28,4,Vrouw van de Seingever,vrouw van de Seingever,
28,5,Dokter,Dokter,
28,5,Dokter,dokter,
28,6,Politieagente,Politieagente,
28,6,Politieagente,politieagente,
29,1,Balsam,Balsam,
29,2,Barna,Barna,
29,3,Mariana,Mariana,
29,4,Edison,Edison,
29,5,Nawal,Nawal,
29,6,Joesef,Joesef,
29,6,Joesef,Meester Joesef,
29,6,Joesef,meester Joesef,
29,7,Atto,Atto,
29,8,Meré,Meré,
29,9,Doglas,Doglas,
29,10,Riem,Riem,
29,11,Adnan,Adnan,
29,12,Soeraia,Soeraia,
29,13,Roza,Roza,
30,1,Fernand,Fernand,
30,2,Albert,Albert,
30,2,Albert,Albertine,
30,3,Madeleine,Madeleine,
30,4,Céleste,Céleste,
30,5,Anaïs,Anaïs,
30,6,Richard,Richard,
30,7,Charles,Charles,
31,1,Marcel,Marcel,
31,1,Marcel,Marcel Meulenberg,
31,2,Gustaaf,Gustaaf,
31,2,Gustaaf,Gustaaf Meulenberg,
31,3,Werner,Werner,
31,3,Werner,Werner Meulenberg,
31,4,moeder,moeder,
31,4,moeder,Moeder,
31,5,Hedwig,Hedwig,
31,6,Rick,Rick,
31,6,Rick,Dokter,
31,6,Rick,dokter,
32,1,Isis,Isis,
32,2,Galya,Galya,
32,3,Boma,Boma,
32,4,Martijn,Martijn,
32,5,Marjon,Marjon,
32,6,Chokri,Chokri,
32,7,Blok,Blok,
32,8,Uncle Poe,Uncle Poe,
32,8,Uncle Poe,Uncle X,
32,8,Uncle Poe,Ewald Perrenoud,
33,1,Martin,Martin,
33,1,Martin,Martin Jansen,
33,2,Esther,Esther,
33,3,Gaby,Gaby,
33,4,Van Veenstra,Van Veenstra,
33,4,Van Veenstra,van Veenstra,
33,5,moeder,moeder,
33,5,moeder,Moeder,
33,6,Kirstin,Kirstin,
33,7,Bakels,Bakels,
33,8,Mats,Mats,
34,1,Hanel,Hanel,
34,1,Hanel,Hanel Dille,
34,1,Hanel,Koech,
34,1,Hanel,Frau K,
34,2,Olga,Olga,
34,3,Harald,Harald,
34,3,Harald,Harald Niemann,
34,3,Harald,Herr N,
34,4,Marcel,Marcel,
34,5,Anthony,Anthony,
34,6,Gisele,Gisele,
34,7,Hugo,Hugo,
34,8,Otto,Otto,
35,1,Johannes,Johannes,
35,1,Johannes,Johannes Beckers,
35,2,Clemens,Clemens,
35,2,Clemens,Clemens Driessen,
35,3,Ella,Ella,
35,4,Vincent,Vincent,
35,5,Pim,Pim,
35,6,Angelena,Angelena,
35,7,Van Summeren,Van Summeren,
35,7,Van Summeren,van Summeren,
35,8,Van der Zee,Ton,
35,8,Van der Zee,Van der Zee,
35,8,Van der Zee,Ton van der Zee,
36,1,Nico,Nico,
36,1,Nico,Nico Dijkshoorn,
36,2,Klaas,Klaas,
36,2,Klaas,Klaassie,
36,2,Klaas,Klaas Dijkshoorn,
36,3,Nel,Nel,
36,3,Nel,Nel Dijkshoorn,
36,4,Orlanda,Orlanda,
36,5,Stefan,Stefan,
36,5,Stefan,Stefan Dijkshoorn,
36,6,Bas,Bas,
36,6,Bas,Bas Dijkshoorn,
36,7,Ger,Ger,
36,7,Ger,Ger Dijkshoorn,
36,8,Elly,Elly,
36,9,Wim,Wim,
36,10,Marlon,Marlon,
36,11,Cor,Cor,
37,1,God,God,
37,2,Jozef,Jozef,
37,3,Jezus,Jezus,
37,4,Bartje,Bartje,
37,5,Mozes,Mozes,
37,6,Jozua,Jozua,
37,7,Ahab,Ahab,
37,8,Mirjam,Mirjam,
37,9,Rachab,Rachab,
37,10,Maria,Maria,
37,11,Gabriël,Gabriël,
37,12,Johannes,Johannes,
37,13,Jogli,Jogli,
37,14,Michaël,Michaël,
38,1,Adriaan,Adriaan,
38,1,Adriaan,Adriaan Wiering,
38,1,Adriaan,Walraven,
38,1,Adriaan,Luc Walraven,
38,1,Adriaan,Lucas Walraven,
38,2,Merel,Merel,
38,3,Mila,Mila,
38,4,Evelien,Evelien,
38,4,Evelien,Evelien Keijzer,
38,5,Jo,Jo,
38,5,Jo,Jo Keijzer,
38,6,Oosterling,Oosterling,
38,7,Sieme,Sieme,
38,7,Sieme,Sieme Veijl,
38,8,Reijer,Reijer,
38,9,Jaap,Jaap,
38,9,Jaap,Jaap Keijzer,
38,10,Frank,Frank Royaards,
38,10,Frank,Royaards,
38,10,Frank,Frank,
38,11,Kuyper,Kuyper,
38,12,Berthe,Berthe,
38,12,Berthe,Berthe Wiering,
38,13,Piechler,Piechler,
39,1,Rick,Rick,
39,1,Rick,Rick Koldewijn,
39,2,Suzanna,Suzanna,
39,2,Suzanna,Suzanna Witten,
39,3,Luuk,Luuk,
39,3,Luuk,Luuk Witten,
39,4,Deborah,Deborah,
39,4,Deborah,Deborah Witten,
39,5,Egbert,Egbert,
39,6,Steven,Steven,
39,6,Steven,Steven Witten,
39,7,Leon ,Leon ,
39,8,Ingrid,Ingrid,
39,9,Marie-Marie,Marie-Marie,
39,10,Andrea,Andrea,AndreaS college' is iets anders
39,11,Emmy,Emmy,
40,1,Sjoerd,Sjoerd,
40,1,Sjoerd,Sjoerd Wijtman,
40,2,Ruurd,Ruurd,
40,2,Ruurd,Ruurd Wijtman,
