1,1,Louise,2,2,4,2,4,1,2,prostituee/bedelaar,0.9090909090909092,0.02651515151515151,415419.3939393939,0.406039480114042,0.2886754013242163
1,2,Vake,1,2,4,2,4,99,2,bedelaar,0.5454545454545454,0.04272727272727272,389455.6818181818,0.2479827805145168,0.2886750644028431
1,3,Gertrude,2,2,4,2,4,1,2,prostituee,0.8181818181818182,0.019696969696969695,366546.5240641711,0.42193586108855907,0.2886754013242532
1,4,Amelia,2,2,4,2,4,1,2,prostituee,0.5454545454545454,0.004545454545454545,311564.54545454547,0.39879666986455353,0.2886752749788964
1,5,Alexander,1,2,4,2,4,99,1,hertog,0.9090909090909092,0.07196969696969696,445092.2077922078,0.3601590547700118,0.2886753170938699
1,6,Sebastiaan,1,2,4,2,4,1,2,tekenaar,0.9090909090909092,0.03409090909090909,389455.6818181818,0.38770156069681244,0.2886754013241733
1,7,Hannah,2,6,99,2,4,1,2,dienstmeisje,0.4545454545454546,0.024545454545454547,389455.6818181819,0.14452101875606935,0.2886749380572036
1,8,Lizzie,2,2,4,2,4,1,2,dienstmeisje,0.6363636363636364,0.051666666666666666,479330.06993006996,0.1724445541246721,0.28867502228751935
1,9,Anna Maria,2,2,4,2,4,1,2,vroedvrouw/bedelaar,0.0,0.0,0.0,-4.3635007030805475e-17,0.28867472748117484
1,10,Lucie,2,2,4,2,4,1,99,99,0.6363636363636364,0.12818181818181817,479330.06993006996,0.17470431517037033,0.2886750222875132
1,11,Contarini,1,3,6,3,6,99,2,kunstenaar,0.5454545454545454,0.02,415419.3939393939,0.19101211079358577,0.2886750222875869
1,12,Lilianne,2,2,4,2,4,99,2,huisvrouw,0.5454545454545454,0.046363636363636364,415419.3939393939,0.1972564528001945,0.28867502228759306
2,1,Eus,1,5,99,1,3,1,1,scholier/student/kok/crimineel,0.5,0.08389724310776941,183732.41351351351,0.3607237585876782,0.2182184034212662
2,2,Turis,1,5,99,1,3,99,2,werkloos,0.4,0.0662280701754386,174310.2384615385,0.33866428412278476,0.21821822960063142
2,3,Kosta,1,5,99,1,3,1,99,scholier/kok/crimineel,0.65,0.20764411027568921,188836.0916666667,0.5342706583506851,0.218218982823223
2,4,Mahir,1,5,99,1,3,1,99,scholier,0.35000000000000003,0.010576441102756889,178897.35,0.45630720478531606,0.21821840342212764
2,5,Selma,2,5,99,1,3,1,1,student,0.30000000000000004,0.07794486215538847,206003.00909090906,0.1274842304327974,0.21821782401818632
2,6,Inez,2,1,99,1,3,1,1,student,0.1,0.0,154502.2568181819,0.052802843384175915,0.21821759225711432
2,7,Osman,1,99,99,1,99,99,99,werkloos,0.05,0.0,138736.7204081633,0.012048731787362044,0.21821753431661559
2,8,Theo,1,1,99,1,3,99,99,99,0.15000000000000002,0.0,130732.67884615387,0.17695563495851827,0.2182177660783798
2,9,Meltem,1,5,99,1,3,1,99,student,0.4,0.2205639097744361,219293.52580645162,0.15795421890212477,0.2182179398985992
2,10,Metin,1,5,99,1,3,1,99,99,0.30000000000000004,0.05263157894736842,165807.30000000002,0.08568754249085035,0.2182178240177709
2,11,Ömer,1,5,99,1,3,1,99,99,0.1,0.0,135961.98600000003,0.03405220874078324,0.21821759225692972
2,12,Ata,1,5,99,1,3,1,99,scholier,0.4,0.04229323308270676,183732.41351351351,0.26541042822563443,0.218218113719957
2,13,moeder Eus,2,5,99,1,3,99,2,huisvrouw,0.0,0.0,0.0,5.7590112958595176e-18,0.21821747637639374
2,14,Daphne,2,1,99,1,3,1,1,barkeeper,0.05,0.0,130732.67884615387,0.01996023207753333,0.21821753431670787
2,15,Haakneus,2,5,99,1,3,1,99,ober,0.30000000000000004,0.09615288220551378,199944.09705882354,0.11329848870054719,0.218217824018094
2,16,Kareltje,1,1,99,1,3,1,2,kok/crimineel,0.55,0.19979949874686717,199944.09705882354,0.2616709312277069,0.2182182875401764
2,17,Angelo,1,1,99,1,3,99,99,crimineel,0.1,0.0,128266.02452830189,0.04411954609535323,0.218217592257022
2,18,Vinny,1,1,99,1,3,99,99,crimineel,0.1,0.0,128266.02452830189,0.044119546095353505,0.218217592257022
2,19,Nathan,1,1,99,1,3,99,99,99,0.15000000000000002,0.0,147784.76739130437,0.11011085249077714,0.21821770813789643
2,20,Eef,2,1,99,1,3,1,99,scholier,0.15000000000000002,0.008333333333333333,158095.33255813955,0.033440913640493494,0.21821765019709
2,21,Levine,2,1,99,1,3,1,99,scholier,0.30000000000000004,0.05340852130325814,188836.0916666667,0.09103898475902238,0.21821782401787862
3,1,Arthur,1,1,99,6,12,4,1,schrijver/docent,0.5,0.1607142857142857,206115.42857142855,0.5743981024489687,0.3333337953963259
3,2,Carmen,2,3,6,6,12,2,1,ondernemer,0.875,0.10714285714285714,240468.0,0.6502404414233897,0.3333343498693243
3,3,Louise,2,3,6,3,6,5,1,makelaar,0.375,0.0,160312.0,0.3922733040937482,0.3333334257461574
3,4,Doron,1,5,10,6,12,4,1,fotograaf,0.75,0.5,288561.60000000003,0.15643683886559068,0.3333333333324879
3,5,Jorge,1,3,99,6,12,4,2,clown,0.25,0.0,144280.80000000002,0.18952663162160346,0.3333330560959631
3,6,Oscar,1,6,99,6,12,4,1,radio-presentator,0.5,0.17857142857142855,221970.46153846153,0.13077833211808076,0.3333331485078903
3,7,Lala,2,6,12,6,12,6,1,zangeres/socialite,0.375,0.0,206115.42857142858,0.0947649453152579,0.3333330560955019
3,8,Felizia,2,5,99,6,12,99,1,lerares,0.25,0.0,180351.0,0.0815449044647166,0.33333296368316473
