1,1,Louise,2,2,4,2,4,1,2,prostituee/bedelaar,0.8181818181818182,0.031558441558441556,445092.2077922078,0.3593988259392526,0.2886752890170989,2,corpus_Libris2013
1,10,Lucie,2,2,4,2,4,1,99,99,0.6363636363636364,0.13826839826839823,479330.06993006996,0.20032827410423046,0.2886750784411151,2,corpus_Libris2013
1,11,Contarini,1,3,6,3,6,99,2,kunstenaar,0.5454545454545454,0.021818181818181816,415419.3939393939,0.22314383495909534,0.288675078441195,2,corpus_Libris2013
1,12,Lilianne,2,2,4,2,4,99,2,huisvrouw,0.4545454545454546,0.028484848484848488,415419.3939393939,0.16772128842605186,0.2886749942108076,2,corpus_Libris2013
1,2,Vake,1,2,4,2,4,99,2,bedelaar,0.2727272727272727,0.009696969696969697,346182.82828282827,0.11537816101084258,0.2886749099804326,2,corpus_Libris2013
1,3,Gertrude,2,2,4,2,4,1,2,prostituee,0.8181818181818182,0.04454545454545454,389455.6818181819,0.44635573757926755,0.2886754153626461,2,corpus_Libris2013
1,4,Amelia,2,2,4,2,4,1,2,prostituee,0.4545454545454546,0.0,283240.4958677686,0.4001910982478362,0.2886752469021049,2,corpus_Libris2013
1,5,Alexander,1,2,4,2,4,99,1,hertog,0.9090909090909092,0.07246753246753246,445092.2077922078,0.39908290857104733,0.2886753732474371,2,corpus_Libris2013
1,6,Sebastiaan,1,2,4,2,4,1,2,tekenaar,0.9090909090909092,0.07246753246753246,445092.2077922078,0.38834860845273317,0.28867537324740633,2,corpus_Libris2013
1,7,Hannah,2,6,99,2,4,1,2,dienstmeisje,0.4545454545454546,0.016363636363636365,389455.6818181819,0.1680934558231311,0.2886749942108076,2,corpus_Libris2013
1,8,Lizzie,2,2,4,2,4,1,2,dienstmeisje,0.6363636363636364,0.04471861471861472,479330.06993006996,0.20430801677885968,0.2886750784411397,2,corpus_Libris2013
1,9,Anna Maria,2,2,4,2,4,1,2,vroedvrouw/bedelaar,0.0,0.0,0.0,-1.3877787807814454e-16,0.2886747836347809,2,corpus_Libris2013
2,1,Eus,1,5,99,1,3,1,1,scholier/student/kok/crimineel,0.5,0.10531954887218044,199944.09705882354,0.30122878081546184,0.2182182461546383,1,corpus_Libris2013
2,10,Metin,1,5,99,1,3,1,99,99,0.30000000000000004,0.04052631578947369,165807.30000000002,0.0856992060999306,0.21821784057219315,1,corpus_Libris2013
2,11,Ömer,1,5,99,1,3,1,99,99,0.1,0.0,141627.06875000003,0.03116817795454397,0.2182176088113498,1,corpus_Libris2013
2,12,Ata,1,5,99,1,3,1,99,scholier,0.4,0.0475,188836.0916666667,0.24935100672708227,0.21821807233400575,1,corpus_Libris2013
2,13,moeder Eus,2,5,99,1,3,99,2,huisvrouw,0.0,0.0,0.0,1.4721839775269182e-17,0.21821749293085116,1,corpus_Libris2013
2,14,Daphne,2,1,99,1,3,1,1,barkeeper,0.05,0.0,135961.98600000003,0.019721189313832602,0.21821755087115433,1,corpus_Libris2013
2,15,Haakneus,2,5,99,1,3,1,99,ober,0.30000000000000004,0.07884711779448621,199944.09705882354,0.11524419454465074,0.21821784057250085,1,corpus_Libris2013
2,16,Kareltje,1,1,99,1,3,1,2,kok/crimineel,0.55,0.21145363408521303,212440.60312500005,0.24482278341413719,0.21821824615423832,1,corpus_Libris2013
2,17,Angelo,1,1,99,1,3,99,99,crimineel,0.1,0.0,128266.02452830189,0.04748944881595916,0.21821760881147287,1,corpus_Libris2013
2,18,Vinny,1,1,99,1,3,99,99,crimineel,0.1,0.0,128266.02452830189,0.04748944881595913,0.21821760881147287,1,corpus_Libris2013
2,19,Nathan,1,1,99,1,3,99,99,99,0.15000000000000002,0.0,147784.76739130437,0.11633251572277763,0.2182177246923253,1,corpus_Libris2013
2,2,Turis,1,5,99,1,3,99,2,werkloos,0.4,0.06463032581453636,174310.2384615385,0.35650425305444267,0.21821824615499213,1,corpus_Libris2013
2,20,Eef,2,1,99,1,3,1,99,scholier,0.15000000000000002,0.004561403508771929,158095.33255813955,0.03400551969645766,0.21821766675154525,1,corpus_Libris2013
2,21,Levine,2,1,99,1,3,1,99,scholier,0.30000000000000004,0.042951127819548865,188836.0916666667,0.0916293245393693,0.21821784057230087,1,corpus_Libris2013
2,3,Kosta,1,5,99,1,3,1,99,scholier/kok/crimineel,0.65,0.20764411027568921,188836.0916666667,0.5420540547176438,0.21821894143729154,1,corpus_Libris2013
2,4,Mahir,1,5,99,1,3,1,99,scholier,0.35000000000000003,0.00974937343358396,178897.35,0.480772649124261,0.21821841997644,1,corpus_Libris2013
2,5,Selma,2,5,99,1,3,1,1,student,0.30000000000000004,0.07362155388471178,206003.00909090906,0.134596991689215,0.21821784057262392,1,corpus_Libris2013
2,6,Inez,2,1,99,1,3,1,1,student,0.1,0.0,154502.2568181819,0.05678913799491891,0.21821760881156516,1,corpus_Libris2013
2,7,Osman,1,99,99,1,99,99,99,werkloos,0.05,0.0,138736.7204081633,0.013125102800390757,0.2182175508710774,1,corpus_Libris2013
2,8,Theo,1,1,99,1,3,99,99,99,0.15000000000000002,0.0,130732.67884615387,0.19350080629120403,0.21821778263282846,1,corpus_Libris2013
2,9,Meltem,1,5,99,1,3,1,99,student,0.4,0.2039974937343359,219293.52580645162,0.16293764787981138,0.21821795645299946,1,corpus_Libris2013
3,1,Arthur,1,1,99,6,12,4,1,schrijver/docent,0.375,0.05357142857142857,137410.28571428574,0.504435218642869,0.3333335078907095,1,corpus_Libris2013
